round_epochs,val_loss,val_acc,loss,acc,activation,optimizer,losses,hidden_layers,first_neurons,batch_size,epochs,random_state
20,0.08764012868615609,0.9199029149361027,0.0716399671897913,0.9427083258827528,relu,Nadam,mean_squared_error,2,30,50,20,1337
10,0.24119761282379187,0.5533980647626432,0.24042074335739017,0.5562500106170774,relu,sgd,mean_squared_error,2,30,30,10,1337
600,0.003202235617774349,0.9975728178487241,0.0019286193673906382,0.9979166686534882,softmax,Nadam,mean_squared_error,3,30,40,600,42
20,0.23858395182681316,0.6359223381986896,0.23720860574394464,0.7947916621342301,sigmoid,Adam,mean_squared_error,2,3,30,20,42
10,0.25459016570188464,0.44660193943282933,0.25569670476640266,0.4437499999379118,sigmoid,Adam,mean_squared_error,2,3,50,10,1337
100,0.14838686672229212,0.8349514620975383,0.13143504861121377,0.8812499965230624,relu,sgd,mean_squared_error,2,10,20,100,1
20,0.24766340323732894,0.5533980647626432,0.24753995519131422,0.5562500096857548,softmax,sgd,mean_squared_error,1,30,30,20,1337
600,0.00541017683945117,0.9951456356974482,0.007974660720568258,0.9916666721304258,elu,Adam,mean_squared_error,3,30,40,600,1337
600,0.0044733033959417,0.9975728149552947,0.0027652389774933304,0.9979166661699613,softmax,Adam,mean_squared_error,2,30,20,600,1337
10,0.21844758382700022,0.6504854392079473,0.21529346518218517,0.6802083365619183,sigmoid,Nadam,mean_squared_error,2,30,40,10,42
600,0.1707069169259766,0.7912621301354714,0.15583973214961588,0.8583333287388086,sigmoid,sgd,mean_squared_error,1,3,30,600,1337
20,0.11295678021693692,0.8834951331893217,0.09581485681701452,0.9124999903142452,relu,Adam,mean_squared_error,1,30,30,20,1337
600,0.010922081910923701,0.9902912641613228,0.011186812109978442,0.9822916742414236,sigmoid,Nadam,mean_squared_error,2,10,50,600,1337
600,0.009484722177290078,0.9902912713948963,0.010526528819658173,0.9875000069538752,relu,Adam,mean_squared_error,2,10,40,600,42
600,0.006777562321959407,0.9927184535461722,0.008921471257053781,0.9906250064571699,elu,Adam,mean_squared_error,3,10,40,600,1337
20,0.23571194824084496,0.5728155299297815,0.2336502814044555,0.5656250019868215,softmax,Adam,mean_squared_error,3,10,40,20,42
10,0.2402642770010291,0.5533980539122831,0.23941081017255783,0.5562500040978193,softmax,Adam,mean_squared_error,3,30,20,10,1337
