round_epochs,val_loss,val_acc,loss,acc,activation,optimizer,losses,hidden_layers,batch_size,epochs
20,0.002945939009434026,0.9940164533228507,0.0029099351600783067,0.997114459074778,relu,Adam,logcosh,2,20,20
10,0.003407351284939343,0.9940164497563798,0.0042444354944271056,0.9942289158563348,elu,Nadam,logcosh,1,30,10
20,0.002876787249030618,0.9947643966574944,0.0028592206475377517,0.997755690391494,relu,Adam,logcosh,1,20,20
20,0.0025971706698304,0.9947643935368323,0.0019516840144029946,0.9983969207527011,relu,Nadam,logcosh,1,30,20
20,0.0046102581610143875,0.9925205737865052,0.0058327439934153825,0.9903815386577385,elu,Adam,logcosh,2,40,20
20,0.004047232753859809,0.9925205737865052,0.005047659988136757,0.9929464623957882,elu,Adam,logcosh,1,40,20
10,0.005930990713931308,0.9910246759719963,0.008053882619346342,0.9849310609804357,elu,Adam,logcosh,1,30,10
20,0.00265746936464898,0.9940164497563798,0.0021628289666435134,0.9983969207527011,elu,Nadam,logcosh,1,30,20
10,0.007398458529283239,0.98878085978814,0.009770239565629571,0.9820455361268734,relu,Adam,logcosh,1,40,10
10,0.004655727507823781,0.9925205666535634,0.006288173835471233,0.9881372206407543,relu,Adam,logcosh,1,20,10
20,0.003455007224777858,0.9940164497563798,0.004036055059019248,0.9945495312280401,elu,Adam,logcosh,1,30,20
10,0.003434221852970781,0.9940164497563798,0.004246220857961044,0.9939082994335697,relu,Nadam,logcosh,2,30,10
20,0.0026208728607764876,0.9947643935368323,0.0020141280744043837,0.9980763054765467,relu,Nadam,logcosh,2,30,20
20,0.0028898449633451614,0.9947644028988184,0.002696462454784598,0.9980763080564207,relu,Nadam,logcosh,1,40,20
10,0.004466677805173393,0.9925205737865052,0.0058277899904923686,0.9897403055255556,elu,Nadam,logcosh,2,40,10
10,0.006092855620522556,0.9902767321915438,0.008170909925210778,0.9833279804145346,relu,Adam,logcosh,2,30,10
20,0.0024729574162514964,0.9955123399921381,0.001566844881447997,0.999038153024926,elu,Nadam,logcosh,1,20,20
20,0.003923597212716458,0.9925205737865052,0.0048275767006195,0.993587692948097,relu,Adam,logcosh,1,40,20
10,0.004389738607434201,0.9925205666535634,0.005819198017178952,0.9900609145909022,elu,Adam,logcosh,1,20,10
20,0.0026373483983209204,0.9947643935368323,0.002182625787166308,0.9977556891493324,elu,Nadam,logcosh,2,30,20
20,0.0024816706633464186,0.9947643966574944,0.0015386614345434125,0.999358768683284,relu,Nadam,logcosh,1,20,20
10,0.003022261431956221,0.9947643966574944,0.003215210562295383,0.996793843626632,relu,Nadam,logcosh,2,20,10
20,0.0033419464257087423,0.9947643935368323,0.003908521634588211,0.9945495305591839,elu,Adam,logcosh,2,30,20
10,0.0029617453037236586,0.9947643966574944,0.003348631007869758,0.9955113807829881,elu,Nadam,logcosh,2,20,10
20,0.0023521793237362026,0.9947643966574944,0.001468865083921099,0.999358768683284,elu,Nadam,logcosh,2,20,20
20,0.0032954057021621717,0.9947643935368323,0.003840175156010192,0.994870146981949,relu,Adam,logcosh,1,30,20
10,0.003062663403865904,0.9947643966574944,0.00352178886029835,0.9955113807829881,relu,Nadam,logcosh,1,20,10
20,0.0028307246438529473,0.9947643966574944,0.0029150866788040498,0.9974350747331361,elu,Adam,logcosh,2,20,20
10,0.0036871592087912176,0.9940164497563798,0.004412031998147868,0.9935876835841099,elu,Nadam,logcosh,2,30,10
10,0.006232597226926203,0.9902767321915438,0.008460390411822574,0.9846104450545352,elu,Adam,logcosh,2,30,10
20,0.002820302169193934,0.9947644028988184,0.002622241972299617,0.9983969236192278,relu,Nadam,logcosh,2,40,20
10,0.007932906143545615,0.988032917345114,0.010539002642041457,0.9810836849475603,elu,Adam,logcosh,2,40,10
10,0.004487827508525732,0.9917726295602437,0.0057908490592205935,0.9903815380844332,elu,Nadam,logcosh,1,40,10
20,0.0023809224278614795,0.9947643966574944,0.0015102128443314153,0.99839692170821,relu,Nadam,logcosh,2,20,20
10,0.0028392826119665203,0.9947643966574944,0.003211280262753621,0.997114459074778,elu,Nadam,logcosh,1,20,10
20,0.0028707590086051948,0.9947644028988184,0.0027318358410949456,0.9977556930669189,elu,Nadam,logcosh,2,40,20
20,0.003328210800567819,0.9947643935368323,0.0037847411217018377,0.9951907622581034,relu,Adam,logcosh,2,30,20
20,0.0028473996493210297,0.9947644028988184,0.0028117954748977988,0.9971144625146101,elu,Nadam,logcosh,1,40,20
10,0.007410883853349921,0.9902767446741919,0.009918476431623087,0.98044245640182,relu,Adam,logcosh,2,40,10
10,0.004231755463782595,0.9925205720032697,0.00520602043666741,0.9907021548894018,relu,Nadam,logcosh,1,40,10
10,0.005876335534827871,0.9910246759719963,0.007861377471301294,0.9842898262429979,relu,Adam,logcosh,1,30,10
20,0.0038621280395976848,0.9925205737865052,0.00467970090516332,0.9929464608669739,relu,Adam,logcosh,2,40,20
10,0.00845235441835763,0.9872849749020881,0.011245116503964769,0.9794806105733568,elu,Adam,logcosh,1,40,10
10,0.0044782531807142,0.9925205666535634,0.005938737955188923,0.9903815302492602,elu,Adam,logcosh,2,20,10
10,0.004644924628484936,0.9925205666535634,0.006216497653850443,0.9884578362991122,relu,Adam,logcosh,2,20,10
20,0.0027927368310062986,0.9947643966574944,0.002798438598845762,0.997114459074778,elu,Adam,logcosh,1,20,20
10,0.0036788084894271043,0.9940164497563798,0.004675992798833842,0.9926258360357306,relu,Nadam,logcosh,1,30,10
10,0.004196346820859418,0.9932685180127665,0.005434639453837178,0.9900609226171769,relu,Nadam,logcosh,2,40,10
